portofentry,Port Name,City,Flag
MIL,MILWAUKEE, WI         ,Valid
MSN,TRUAX FIELD - DANE COUNTY, WI,Valid
CHS,CHARLESTON, WV        ,Valid
CLK,CLARKSBURG, WV        ,Valid
BLF,MERCER COUNTY, WV,Valid
CSP,CASPER, WY            ,Valid
XXX,NOT REPORTED/UNKNOWN   ,,Not_Valid
888,UNIDENTIFED AIR / SEAPORT,,Not_Valid
UNK,UNKNOWN POE           ,,Not_Valid
CLG,CALGARY, CANADA       ,Valid
EDA,EDMONTON, CANADA      ,Valid
YHC,HAKAI PASS, CANADA,Valid
HAL,Halifax, CANADA,Valid
MON,MONTREAL, CANADA      ,Valid
OTT,OTTAWA, CANADA        ,Valid
YXE,SASKATOON, CANADA,Valid
TOR,TORONTO, CANADA       ,Valid
VCV,VANCOUVER, CANADA     ,Valid
VIC,VICTORIA, CANADA      ,Valid
WIN,WINNIPEG, CANADA      ,Valid
AMS,AMSTERDAM-SCHIPHOL, NETHERLANDS,Valid
ARB,ARUBA, NETH ANTILLES  ,Valid
BAN,BANKOK, THAILAND      ,Valid
BEI,BEICA #ARPT, ETHIOPIA,Valid
PEK,BEIJING CAPITAL INTL, PRC,Valid
BDA,KINDLEY FIELD, BERMUDA,Valid
BOG,BOGOTA, EL DORADO #ARPT  COLOMBIA,Valid
EZE,BUENOS AIRES, MINISTRO PIST  ARGENTINA,Valid
CUN,CANCUN, MEXICO,Valid
CRQ,CARAVELAS, BA #ARPT  BRAZIL,Valid
MVD,CARRASCO, URUGUAY,Valid
DUB,DUBLIN, IRELAND       ,Valid
FOU,FOUGAMOU #ARPT, GABON,Valid
FBA,FREEPORT, BAHAMAS      ,Valid
MTY,GEN M. ESCOBEDO, Monterrey  MX,Valid
HMO,GEN PESQUEIRA GARCIA, MX,Valid
GCM,GRAND CAYMAN, CAYMAN ISLAND,Valid
GDL,GUADALAJARA, MIGUEL HIDAL MX,Valid
HAM,HAMILTON, BERMUDA     ,Valid
ICN,INCHON, SEOUL KOREA,Valid
IWA,INVALID - IWAKUNI, JAPAN,Valid
CND,KOGALNICEANU, ROMANIA,Valid
LAH,LABUHA ARPT, INDONESIA,Valid
DUR,LOUIS BOTHA, SOUTH AFRICA,Valid
MAL,MANGOLE ARPT, INDONESIA,Valid
MDE,MEDELLIN, COLOMBIA,Valid
MEX,JUAREZ INTL, MEXICO CITY MX,Valid
LHR,MIDDLESEX, ENGLAND,Valid
NBO,NAIROBI, KENYA        ,Valid
NAS,NASSAU, BAHAMAS       ,Valid
NCA,NORTH CAICOS, TURK & CAIMAN,Valid
PTY,OMAR TORRIJOS, PANAMA,Valid
SPV,PAPUA, NEW GUINEA,Valid
UIO,QUITO (MARISCAL SUCR), ECUADOR,Valid
RIT,ROME, ITALY           ,Valid
SNO,SAKON NAKHON #ARPT, THAILAND,Valid
SLP,SAN LUIS POTOSI #ARPT, MEXICO,Valid
SAN,SAN SALVADOR, EL SALVADOR,Valid
SRO,SANTANA RAMOS #ARPT, COLOMBIA,Valid
GRU,GUARULHOS INTL, SAO PAULO  BRAZIL,Valid
SHA,SHANNON, IRELAND      ,Valid
HIL,SHILLAVO, ETHIOPIA,Valid
TOK,TOROKINA #ARPT, PAPUA  NEW GUINEA,Valid
VER,VERACRUZ, MEXICO,Valid
LGW,WEST SUSSEX, ENGLAND  ,Valid
ZZZ,MEXICO Land, MEXICO,Not_Valid
CHN,No PORT Code (CHN),,Not_Valid
CNC,CANNON CORNERS, NY,Valid
MAA,Abu Dhabi,,Valid
AG0,MAGNOLIA, AR,Valid
BHM,BAR HARBOR, ME,Valid
BHX,BIRMINGHAM, AL,Valid
CAK,AKRON, OH,Valid
FOK,SUFFOLK COUNTY, NY,Valid
LND,LANDER, WY,Valid
MAR,MARFA, TX,Valid
MLI,MOLINE, IL,Valid
RIV,RIVERSIDE, CA,Valid
RME,ROME, NY,Valid
VNY,VAN NUYS, CA,Valid
YUM,YUMA, AZ,Valid
FRG,Collapsed (FOK) 06/15,,Not_Valid
HRL,Collapsed (HLG) 06/15,,Not_Valid
ISP,Collapsed (FOK) 06/15,,Not_Valid
JSJ,Collapsed (SAJ) 06/15,,Not_Valid
BUS,Collapsed (BUF) 06/15,,Not_Valid
IAG,Collapsed (NIA) 06/15,,Not_Valid
PHN,Collapsed (PHU) 06/15,,Not_Valid
STN,Collapsed (STR) 06/15,,Not_Valid
VMB,Collapsed (VNB) 06/15,,Not_Valid
T01,Collapsed (SEA) 06/15,,Not_Valid
PHF,No PORT Code (PHF),,Not_Valid
DRV,No PORT Code (DRV),,Not_Valid
